State/Union Territory,Power_Requirement_Net_Crore_Units_kiloWatt-Hour,Availability_Of_Power_Net_Crore_Units_kiloWatt-Hour,Installed_Power_Capacity_MegaWatt,End_Year,population(million),Region,rel_pop,rel_infras_eco,Region_means_encoded,Region_encoded_normalized,Region_encoded_standardized
Andaman and Nicobar Islands,24.0,18.0,65.0,2008,0.3561535417491096,ER,1,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Andhra Pradesh,6414.0,6151.0,11867.0,2008,76.21112625449139,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Arunachal Pradesh,39.0,30.0,180.0,2008,1.0905125408942202,NER,1,2,156.97037037037038,0.0,-1.6522266724460715
Assam,482.0,441.0,955.0,2008,26.64652567975831,NER,4,4,156.97037037037038,0.0,-1.6522266724460715
Bihar,916.0,793.0,1970.0,2008,82.94979079497908,ER,4,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Chandigarh,145.0,115.0,95.0,2008,0.903803835271927,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Chhattisgarh,1408.0,1341.0,3103.0,2008,20.835922933499067,ER,1,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Dadra and Nagar Haveli,339.0,337.0,44.0,2008,0.22035937540867837,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Daman and Diu,177.0,158.0,19.0,2008,0.15820408326741495,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Delhi,2244.0,2230.0,3689.0,2008,13.850071424135148,NR,2,2,3255.4640522875816,0.7067456581768915,0.36242759536752484
Goa,274.0,271.0,352.0,2008,1.3491312789366257,WR,2,2,4541.141176470588,1.0,1.1983805361083646
Gujarat,6875.0,5761.0,11052.0,2008,50.668425681618295,WR,3,3,4541.141176470588,1.0,1.1983805361083646
Haryana,2935.0,2565.0,4590.0,2008,21.144176077817164,NR,3,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Himachal Pradesh,599.0,581.0,1858.0,2008,6.073593978674472,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Jammu and Kashmir,1178.0,836.0,1709.0,2008,10.140708393983504,NR,2,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Jharkhand,514.0,446.0,2153.0,2008,26.964933494558643,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Karnataka,4032.0,3923.0,8877.0,2008,52.84925232385828,SR,3,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Kerala,1566.0,1528.0,3495.0,2008,31.833333333333332,SR,2,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Lakshadweep,2.0,2.0,11.0,2008,0.05054334091483447,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Madhya Pradesh,4156.0,3570.0,7752.0,2008,60.3448275862069,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Maharashtra,11489.0,9385.0,19583.0,2008,96.88241973779292,WR,4,3,4541.141176470588,1.0,1.1983805361083646
Manipur,53.0,50.0,158.0,2008,2.162629757785467,NER,3,1,156.97037037037038,0.0,-1.6522266724460715
Meghalaya,162.0,123.0,288.0,2008,2.3150762281197066,NER,3,3,156.97037037037038,0.0,-1.6522266724460715
Mizoram,29.0,25.0,119.0,2008,0.903179190751445,NER,1,1,156.97037037037038,0.0,-1.6522266724460715
Nagaland,38.0,33.0,103.0,2008,1.9666269368295588,NER,2,1,156.97037037037038,0.0,-1.6522266724460715
Odisha,1885.0,1850.0,4051.0,2008,36.80127312512433,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Puducherry,184.0,184.0,257.0,2008,0.9738025932786452,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Punjab,4237.0,3880.0,6530.0,2008,24.362677382895896,NR,3,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Rajasthan,3674.0,3560.0,6243.0,2008,56.507936507936506,NR,4,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Sikkim,29.0,27.0,191.0,2008,0.5468908243872798,NER,1,2,156.97037037037038,0.0,-1.6522266724460715
Tamil Nadu,6578.0,6395.0,13563.0,2008,62.4024199843872,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Tripura,78.0,69.0,243.0,2008,3.218283582089552,NER,4,2,156.97037037037038,0.0,-1.6522266724460715
Uttar Pradesh,6263.0,5134.0,9278.0,2008,166.20265458077048,NR,4,4,3255.4640522875816,0.7067456581768915,0.36242759536752484
Uttarakhand,705.0,685.0,2356.0,2008,8.495597172268386,NR,2,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
West Bengal,2902.0,2790.0,7432.0,2008,80.17241379310344,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Andaman and Nicobar Islands,24.0,18.0,65.0,2009,0.3484320557491289,ER,1,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Andhra Pradesh,7151.0,6667.0,11639.0,2009,76.20299462795748,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Arunachal Pradesh,43.0,27.0,180.0,2009,1.0940032414910859,NER,1,2,156.97037037037038,0.0,-1.6522266724460715
Assam,511.0,457.0,980.0,2009,26.678342089900756,NER,4,4,156.97037037037038,0.0,-1.6522266724460715
Bihar,1053.0,880.0,1970.0,2009,83.01886792452831,ER,4,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
