cluster,user_pseudo_id,product_id_name,product_category_list,product_category_2_list,recency,frequency,monetary
1,1202480204.16872,"{'8905134944706': 'Tapered Bottom', ' 8905134532897': ' Red Floral Na Tie-Ups Skirt'}",['Bottoms'],['All Clothing'],102,2,2750.0
1,1561121126.1708703,"{'8905134532989': 'Fire Of Forest Set', ' 8905724375583': ' Tapered Bottom'}","['Women', ' Bottoms']","['All Clothing', ' End of Season Sale']",97,1,2195.0
1,1525139208.1707032,"{'8905134532996': 'Tapered Bottom', ' 8905134233770': ' Solid Bottom'}","['Bottoms', ' Black Friday Sale']","['All Clothing', ' Sale']",119,1,1360.0
1,1524331470.167326,"{'8905134533009': 'Solid Straight Bottom', ' 8905134828662': ' Tapered Bottom'}","['Bottoms', ' Black Friday Sale']","['All Clothing', ' Sale']",116,1,1550.0
1,1474605736.1705766,"{'8905134543114': 'Red Abstract Fit & Flare Top', ' 8905134850038': ' Indigo Floral Flared Top'}",['Tops'],['All Clothing'],134,1,1120.0
0,276781051.1711476,{'8905134555971': 'Pink Floral Straight Kurta'},['Kurtas'],['Kurtas &amp; Kurta Sets'],66,1,565.0
1,417117190.17066383,{'8905134556572': 'Aqua Tassel Cropped Top'},['Clearance Sale'],['Sale'],124,1,670.0
1,1398986261.1706767,"{'8905134559528': 'Ethnic Motifs Fit & Flare Set', ' 8905134818809': ' Mustard Printed Fit and Flare Lace Top', ' 8905134267133': ' Solid Pleated Bottom'}","['Co-Ord Sets', ' Tops', ' Clearance Sale']","['Sale', ' Diwali Sale Upto 70% off', ' All Clothing']",122,1,1780.0
1,2090527831.170568,"{'8905134559955': 'Indigo Geometric Straight Concealed Zip Jump Suit', ' 8905134906308': ' Blue Geometric V-Neck Fit and Flare Gown', ' 8907861596364': ' Pink Printed Tie-Ups Straight Gown'}","['Clearance Sale', ' Jumpsuits']","['Sale', ' All Clothing']",135,1,1926.0
2,1991392892.16946,{'8905134564874': 'Mustard Tassel Cropped Stitched Saree'},['Clearance Sale'],['Sale'],100,3,6085.0
2,1991392892.16946,"{'8905724206696': 'Black Floral-Polka Co-ords Set', ' 8905724295201': ' Crossandra Co-ords Set'}","['Black Friday Sale', ' Women']","['Sale', ' End of Season Sale']",100,3,6085.0
